Run,Energy (GeV),Crystal,Table X (mm),Table Y (mm),Events
13559,Pedestals, , , ,1000
13360,243.48,C3,212,282,52519
13361,243.48,C2,212,304,50420
13362,243.48,C4,212,260,56769
13363,243.48,C3down,212,293,50090
13364,243.48,C3up,212,269,75504
13365,243.48,C3right,201,282,26161
13366,243.48,C3right,201,282,50961
13367,243.48,C3left,223,282,75310
13368,197.27,C3,212,282,50946
13369,197.27,C2,212,304,22947
13370,197.27,C2,212,304,29588
13371,197.27,C4,212,260,52167
13372,197.27,C3up,212,269,75694
13373,197.27,C3down,212,293,78846
13374,197.27,C3left,223,282,69275
13375,197.27,C3right,201,282,76222
13376,149.12,C3,212,282,53185
13377,149.12,C2,212,304,50568
13378,149.12,C4,212,260,50330
13379,149.12,C3up,212,269,76020
13380,149.12,C3down,212,293,75875
13381,149.12,C3left,223,282,75164
13382,149.12,C3right,201,282,75667
13383,99.83,C3,212,282,51355
13384,99.83,C2,212,304,50876
13385,99.83,C4,212,260,51485
13386,99.83,C3down,212,293,75k
13387,99.83,C3up,212,269,55k
13388,99.83,C3left,223,282,75k
13389,99.83,C3right,201,282,75k
13390,99.83,C3,212,282,76k
13391,49.99,C3,212,282,150k
13392,49.99,C2,212,304,50k
13393,49.99,C4,212,260,50k
13394,49.99,C3up,212,269,50k
13395,49.99,C3down,212,293,50k
13396,49.99,C3left,223,282,50k
13397,49.99,C3right,201,282,50k
13416,149.12,C3,212,282,100k
13417,197.27,C3,212,282,31k
13418,197.27,C3,212,282,50k
13419,197.27,C3,212,282,25k
13420,243.48,C3,212,282,63k
13421,243.48,C3,212,282,40k
13523,243.48,C3DL,222,290,67877
13524,243.48,C3DL,222,290,33090
13526,243.48,C3DR,203,292,35831
13527,243.48,C3DR,203,292,66529
13531,243.48,C3UL,222,271,100707
13532,243.48,C3UR,203,271,100761
13533,197.27,C3DL,222,290,100810
13534,197.27,C3DR,203,292,100760
13535,197.27,C3UL,222,271,19610
13536,197.27,C3UL,222,271,59602
13537,197.27,C3UL,222,271,20057
13538,197.27,C3UR,203,271,101712
13540,149.12,C3DL,222,290,101209
13541,149.12,C3DR,203,292,100831
13542,149.12,C3UL,222,271,100109
13543,149.12,C3UR,203,271,100669
13544,99.83,C3DL,222,290,91584
13545,99.83,C3DR,203,292,101556
13546,99.83,C3UL,222,271,101011
13547,99.83,C3UR,203,271,100641
13548,49.99,C3DL,222,290,75005
13549,49.99,C3DL,222,290,25098
13550,49.99,C3DR,203,292,107k
13551,49.99,C3UL,222,271,100654
13552,49.99,C3UR,203,271,34854
13553,49.99,C3UR,203,271,65607
